"Cell.ID"	"Condition"
"IV_D2_S134_R1_001"	"OD 0.3"
"IV_D3_S135_R1_001"	"OD 0.3"
"IV_D4_S136_R1_001"	"OD 1.0"
"IV_D5_S137_R1_001"	"OD 1.0"
"IV_D6_S138_R1_001"	"OD 1.0"
"IV_D7_S139_R1_001"	"OD 2.0"
"IV_D8_S140_R1_001"	"OD 2.0"
"IV_D9_S141_R1_001"	"OD 2.0"
"IV_E1_S145_R1_001"	"OD 0.3"
"IV_E10_S154_R1_001"	"OD 0.1"
"IV_E11_S155_R1_001"	"OD 0.1"
"IV_E12_S156_R1_001"	"OD 0.1"
"IV_E2_S146_R1_001"	"OD 0.3"
"IV_E3_S147_R1_001"	"OD 0.3"
"IV_E4_S148_R1_001"	"OD 1.0"
"IV_E5_S149_R1_001"	"OD 1.0"
"IV_E6_S150_R1_001"	"OD 1.0"
"IV_E7_S151_R1_001"	"OD 2.0"
"IV_E8_S152_R1_001"	"OD 2.0"
"IV_E9_S153_R1_001"	"OD 2.0"
"IV_F1_S157_R1_001"	"OD 0.3"
"IV_F10_S166_R1_001"	"OD 0.1"
"IV_F11_S167_R1_001"	"OD 0.1"
"IV_F12_S168_R1_001"	"OD 0.1"
"IV_F2_S158_R1_001"	"OD 0.3"
"IV_F3_S159_R1_001"	"OD 0.3"
"IV_F4_S160_R1_001"	"OD 1.0"
"IV_F5_S161_R1_001"	"OD 1.0"
"IV_F6_S162_R1_001"	"OD 1.0"
"IV_F7_S163_R1_001"	"OD 2.0"
"IV_F8_S164_R1_001"	"OD 2.0"
"IV_F9_S165_R1_001"	"OD 2.0"
"IV_G1_S169_R1_001"	"OD 0.3"
"IV_G10_S178_R1_001"	"OD 0.1"
"IV_G11_S179_R1_001"	"OD 0.1"
"IV_G12_S180_R1_001"	"OD 0.1"
"IV_G2_S170_R1_001"	"OD 0.3"
"IV_G3_S171_R1_001"	"OD 0.3"
"IV_G4_S172_R1_001"	"OD 1.0"
"IV_G5_S173_R1_001"	"OD 1.0"
"IV_G6_S174_R1_001"	"OD 1.0"
"IV_G7_S175_R1_001"	"OD 2.0"
"IV_G8_S176_R1_001"	"OD 2.0"
"IV_G9_S177_R1_001"	"OD 2.0"
"IV_H1_S181_R1_001"	"OD 0.3"
"IV_H10_S190_R1_001"	"OD 0.1"
"IV_H11_S191_R1_001"	"OD 0.1"
"IV_H12_S192_R1_001"	"OD 0.1"
"IV_H2_S182_R1_001"	"OD 0.3"
"IV_H3_S183_R1_001"	"OD 0.3"
"IV_H4_S184_R1_001"	"OD 1.0"
"IV_H5_S185_R1_001"	"OD 1.0"
"IV_H6_S186_R1_001"	"OD 0.1"
"IV_H7_S187_R1_001"	"OD 2.0"
"IV_H8_S188_R1_001"	"OD 2.0"
"IV_H9_S189_R1_001"	"OD 2.0"
